Title,genres,vote_average,Release Year,keywords,Plot
Wrath of the Titans,['Adventure'],5.5,2012,"['underworld', 'hades', 'mythology', 'greek mythology', 'zeus', 'perseus', 'gods', 'ancient greece', 'ares', 'based on myths or folklore', '3d']","Perseus (Sam Worthington), a son of Zeus (Liam Neeson), lives as a fisherman after the death of his wife, Io (portrayed by Gemma Arterton in the previous film), with his young son, Helius (John Bell). Zeus visits Perseus and asks for his help, saying that humans are not praying to the gods and as a result the gods are losing their power and becoming mortal. They can no longer sustain the walls of Tartarus which are crumbling, and the imprisoned Titan Kronos will soon be free. Perseus, valuing his family's safety, refuses to get involved.
Zeus meets his brothers Hades (Ralph Fiennes) and Poseidon (Danny Huston), and his son Ares (Édgar Ramírez) in Tartarus. He asks Hades's help in rebuilding Tartarus's walls, but Hades rejects the offer and attacks Zeus. Ares betrays Zeus, imprisoning him and stealing his thunderbolt. Hades and Ares plan to make a deal with Kronos: in exchange for remaining immortal, they will drain Zeus's divine power to revive Kronos. The walls of Tartarus break, unleashing monsters onto the world.
After killing a Chimera that attacked his village, Perseus travels to meet his father. He instead finds a dying Poseidon who informs him of the circumstances and tells him to find his Demigod son Agenor (Toby Kebbell) who will lead him to Hephaestus, who knows the way into Tartarus. Poseidon then gives Perseus his trident and succumbs to the injuries he sustained when meeting Hades and dissolves into dust. Perseus, Andromeda (Rosamund Pike), and Agenor set out to find Hephaestus on a hidden island. Agenor explains that Hephaestus created three weapons which Zeus, Hades, and Poseidon wield: Zeus's thunderbolt, Hades's pitchfork, and Poseidon's trident, and that these weapons can jointly form the Spear of Trium, the only weapon that can defeat Kronos. After an encounter with 30 ft. Cyclopes, the travelers eventually meet the now mortal Hephaestus (Bill Nighy) and reach the entrance of a labyrinth leading to Tartarus. Hephaestus sacrifices himself during an attack by Ares to enable Perseus, Andromeda, and Agenor to enter the labyrinth.
The group eventually enters Tartarus. Meanwhile, Zeus has been almost entirely drained of power as Kronos awakens. Zeus apologizes to Hades for banishing him to the underworld and asks his forgiveness, as he has forgiven Hades for his actions. Hades decides to help Zeus and stop Kronos in contrast to Ares, who still wants to proceed to the former's revival. Perseus arrives and frees Zeus. Ares wounds Zeus with Hades' pitchfork, allowing Perseus to obtain it before he and the others escape Tartarus with Hades.
Aiming to retrieve Zeus' thunderbolt from Ares in order to defeat Kronos, Perseus challenges him to a duel. Ares accepts. Meanwhile, Andromeda's army is overwhelmed by the Makhai. Hades revives Zeus and together they defeat the creatures. Kronos appears and begins to attack Andromeda's army. Zeus and Hades hold off Kronos while Perseus duels Ares eventually killing him with the thunderbolt. Combining the gods' weapons into the Spear of Trium, Perseus destroys Kronos, traveling to his heart and throwing the spear into it.
Zeus reconciles with Perseus and then dies of his wounds as he dissolves. Hades tells Perseus that now he is powerless and leaves. Perseus kisses Andromeda. Helius tells his father that he wants to return to his life as a fisherman, but Perseus tells him they can't. Perseus encourages Helius to be proud of himself, as his son and the grandson of Zeus. The film ends with Perseus giving his sword to Helius."
American Reunion,['Comedy'],6.1,2012,"['wife husband relationship', 'sequel', 'family reunion', 'masturbation', 'scat', 'high school reunion', 'quitting a job', 'milf', 'duringcreditsstinger']","Thirteen years after graduating from high school, Jim Levenstein (Jason Biggs), Chris ""Oz"" Ostreicher (Chris Klein), Kevin Myers (Thomas Ian Nicholas), Paul Finch (Eddie Kaye Thomas), and Steve Stifler (Seann William Scott) are well-established in their lives and careers. Jim lives in the Chicago area and is still married to Michelle (Alyson Hannigan) and now has a two-year-old son, Evan. Since the birth of their son, Jim and Michelle's sex life has deteriorated. Oz is an NFL sportscaster living in Los Angeles with his supermodel girlfriend Mia (Katrina Bowden). Kevin is married to Ellie and works from home as an architect. Finch tells his friends that he has been travelling the world, and still searching for his one true love. Stifler works as a temp at an investment firm, where he is also the victim of humiliating verbal abuse by his cold-hearted employer.
Former classmate John (John Cho), one half of the 'MILF' duo, organizes a Class of 1999 high school reunion in East Great Falls. Jim and Michelle return to Jim's old home, Jim's mother died from cancer related complications a couple years prior which makes his father Noah (Eugene Levy) now a widower. Jim encounters his neighbor Kara (Ali Cobrin), whom he used to babysit and who is soon to turn 18. Jim meets Oz, Kevin, and Finch at a bar, where they meet Selena Vega (Dania Ramirez), Michelle's best friend from band. Stifler appears unexpectedly, and joins them for weekend activities.
The next day, the group goes to the beach. Oz meets his high school girlfriend, Heather (Mena Suvari), who is dating a cardiologist named Ron (Jay Harrington), and Kevin reconnects with Vicky (Tara Reid). The guys have an altercation with Kara's boyfriend, A.J., (Chuck Hittinger) and his friends, which ends with Stifler defecating in their beer cooler and destroying their jet skis. That night, most of the group go to the falls and find a high school party celebrating Kara's birthday. Finch and Selena reconnect, and they fall in love. Kara gets drunk; Jim drives her home, and she tries to seduce him. They are discovered by John, who simply mistakes Kara for Michelle. Oz, Finch, and Stifler help Jim return Kara to her parents' home, but A.J. spots them. Kevin wakes up hungover next to Vicky and assumes they had sex.
Jim and Michelle attend a party thrown by Stifler, hoping to recreate their prom night, and bring Noah along. Noah gets drunk and encounters Stifler's mother Jeanine (Jennifer Coolidge) for the first time. Kevin confronts Vicky about the night before, but she insists there was no sex. Mia takes ecstasy, and Ron humiliates Oz. A newly sympathetic Heather comforts Oz, and they reconcile. They are interrupted by Mia, who starts a fight with Heather. Stifler performs oral sex on a former classmate named ""Long Lips"" Loni hoping she would return the favor, only to strike out. By this point in the story, Jim has told Kara that he does not care about her. A fight ensues between A.J. and his gang against Jim and his friends, which is disrupted by police. But the police only arrest Finch for stealing a motorcycle, which Stifler finds amusing. Exasperated by Stifler's immaturity, the guys blast him, and finally admit that they did not want him to ruin things like he always does. Distraught, Stifler ends the party.
Mia leaves Oz, Stifler decides to skip the reunion, and Michelle goes to her grandmother's. At the reunion, Finch admits that he is an assistant manager at Staples and stole the motorcycle from his boss when he did not receive a raise that was promised. The boys apologize to Stifler at his place of work, and insist that he is their friend saying ""he is their asshole""; without him, high school would not have been any fun. Stifler is uplifted by this and quits his job - but not before standing up to his antagonizing boss, Duraiswamy - and attends the reunion. Kevin reconciles with Vicky. Finch makes amends with Selena for lying, and they have sex in the bathroom - but not before a premonition of something vague but bad happening, which is that Stifler is having sex with his mother, as revenge on him for having sex with Stifler's mother. Oz reunites with Heather (a result of Stifler beating up Ron), and Jim reconciles with Michelle. Jessica (Natasha Lyonne) reveals that she is a lesbian, and with Stifler's help, Sherman (Chris Owen) hooks up with Loni. Stifler is asked to be a party planner for a wedding for his former lacrosse teammates. He also meets Finch's mother Rachel (Rebecca De Mornay), who intrigues Stifler by telling him she wishes her son were more into sports. After Rachel makes a brazen sexual pass at Stifler using lacrosse equipment-related innuendos, Rachel and Stifler proceed to have sex on the lacrosse field, while Rachel loudly and passionately agrees with Stifler's proclamations about his manliness. John is reunited with his estranged buddy, Justin (Justin Isfeld) (MILF Guy #1) and they watch Stifler having sex with Finch's mom while chanting ""MILF! MILF! MILF!"".
The next morning, Jim and Kara share a tender moment while apologizing to each other for their behavior. Oz plans to stay in town with Heather, Finch plans a trip with Selena to Europe, and Stifler drops subtle hints about sleeping with Finch's mom. Kevin proposes a pact for them to reunite once a year. They all agree and make a toast as the franchise's theme song (""Laid"") plays. As the credits roll, Stifler says, ""I fucked Finch's mom!"" in a half-whisper, leaving Finch disgusted. In a mid-credits scene, Noah Levenstein receives sexual gratification from Stifler's Mom at a movie theater."
The Best Exotic Marigold Hotel,"['Drama', 'Comedy']",6.9,2011,"['hotel', 'based on novel', 'india', 'ensemble cast', 'elderly', 'jaipur india', 'personal growth', 'outsourcing']","Recently widowed housewife Evelyn (Judi Dench) must sell her home to cover huge debts left by her late husband. Graham (Tom Wilkinson), a high-court judge who had spent his first eighteen years in India, abruptly decides to retire and return there. Jean (Penelope Wilton) and Douglas (Bill Nighy) seek a retirement they can afford, having lost most of their savings through investing in their daughter's internet business. Muriel (Maggie Smith), a retired housekeeper prejudiced against Indians, needs a hip replacement operation which can be done far more quickly and inexpensively in India. Madge (Celia Imrie) is hunting for another husband, and Norman (Ronald Pickup), an aging Lothario, is trying to recapture his youth. They each decide on a retirement hotel in India, based on pictures on its website.
When the group arrives at the picturesque hotel, they find an energetic young manager Sonny (Dev Patel) but a dilapidated facility, not yet what he had promised. Overwhelmed by the cultural changes, Jean often stays inside at the hotel, while her husband Douglas explores the sights. Graham finds that the area has greatly changed since his youth and disappears on long outings every day. Muriel, despite her xenophobia, starts to appreciate her doctor for his skill and the hotel maid for her good service. Evelyn gets a job advising the staff of a call centre on how to interact with older British customers. Sonny struggles to raise funds to renovate the hotel and sees his girlfriend Sunaina (Tena Desae), despite his mother's disapproval. Madge joins the Viceroy Club seeking a spouse, where she is surprised to find Norman. She introduces him to Carol (Diana Hardcastle). He admits he is lonely and seeking a companion, and the two begin an affair.
Graham confides in Evelyn that he is trying to find the Indian lover he was forced to abandon as a youth. Social-climber Jean is attracted to Graham, and makes a rare excursion to follow him, but is humiliated when he explains he is gay. Graham reunites with his former lover, who is in an arranged marriage of mutual trust and respect. Reconciled, the Englishman dies of an existing heart condition. Evelyn and Douglas grow increasingly close, angering his wife, which results in an outburst from Douglas denouncing this marriage. Muriel reveals that she was once housekeeper to a family who had her train her younger replacement and now, having been forced out of the home and into retirement, she feels that she has lost any purpose in her life.
Sonny's more successful brothers each own a third of the hotel and plan to demolish it. His mother (Lillete Dubey) agrees and wants him to return to Delhi for an arranged marriage. Jean and Douglas prepare to return to England after money is found through their daughter's company. Jean eagerly awaits returning to England, but Douglas is more hesitant. Now that the hotel is closing against Sonny's wishes and pleas, Madge prepares to return to England, and Norman agrees to move in with Carol. Madge, after encouragement from Carol and Muriel, decides to keep searching for another husband.
Sonny, encouraged by Evelyn, finally tells Sunaina that he loves her. He confronts his mother, who first forbids the match but then is persuaded by Young Wasim, who speaks no English. He explains that he once knew another man who wanted to marry a smart beautiful woman against his family's wishes. Sonny's mother interprets for Young Wasim, realizing he is talking about her, and she finally gives the couple her blessing. She asks Sunaina to take good care of her ""favourite son"". Before the remaining guests can leave, Muriel reveals that her experience running the family's household gave her the knowledge how to balance a budget and that the hotel can make a profit. She approaches Sonny's investor privately and then invites him to visit the hotel to discuss matters with Sonny. The investor agrees to fund Sonny's plans for renovation so long as Muriel stays on as an assistant manager.
All the guests agree to stay — except Jean and Douglas. Due to their daughter's long-awaited success, they decide to return home but on the way to the airport, their taxi gets caught in a traffic jam. A rickshaw driver says that he can take only one of them. Jean sees it as a sign that it is time to split with Douglas; she bids him farewell and departs. He winds up at another hotel, discovering that it's nothing more than a brothel and drug den, and spends the rest of the night wandering the streets. He returns to the hotel just as Evelyn is leaving for work, and asks her out on a date. A closing montage with a voiceover shows Muriel checking in customers in an elegant renovated lobby, Madge dining with a handsome older Indian man, and Norman and Carol living happily together. Sonny and Sunaina are shown riding a motorbike and passing Douglas and Evelyn on another bike."
Think Like a Man,"['Comedy', 'Romance']",6.9,2012,"['advice', 'love', 'relationship', 'ensemble cast', 'duringcreditsstinger', 'turning the tables', 'reading a book', 'african american comedy']","The film follows four storylines about each of the couples, titled:
Each of the women are readers of Steve Harvey's book Act Like a Lady, Think Like a Man. When the men learn that the women are hooked on Harvey's advice, they try to turn the tables on their mates, which later seems to backfire."
Men in Black 3,"['Action', 'Comedy', 'Science Fiction']",6.3,2012,"['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']","In 2012, an alien criminal named Boris the Animal, a Boglodite, escapes from a maximum-security prison on the Moon and arrives on Earth, bent on taking revenge on Agent K, who shot off his left arm and captured him in 1969. He confronts K, who is with his partner Agent J, telling him he is ""already dead"". J then returns to MiB Headquarters and discovers that K was responsible not only for capturing Boris, but for deploying the ""ArcNet"", a shield that prevented the Boglodites from conquering Earth and caused their extinction.
Boris travels back in time to kill the young Agent K. With history altered so that K is long-dead, J finds that only his memory has been unaffected, and no one from the Agency understands his obsession with K until Agent O, the new Chief, deduces that there has been a fracture in the space-time continuum. With K out of the picture, the ArcNet was never deployed, and there is nothing to protect the present-day Earth from the Boglodite invasion, so J must travel back in time to stop Boris and save K.
Back in 1969, J goes to Coney Island, knowing from the Agency's records that in 1969, Boris will commit a murder there. He finds Boris, but is discovered and arrested by 1969 K, who takes him to MiB Headquarters and prepares to neuralyze him, but decides at the last minute to investigate J's claims that he has travelled from the future to protect him. K and J follow clues, leading them to a bowling alley, and then to The Factory, where they come across an alien named Griffin, who is in possession of the ArcNet. Griffin, who can see all possible future timelines and outcomes, senses Boris is coming and escapes, but not before promising to give them the ArcNet the next time they meet. Boris later captures Griffin. J and K pursue and rescue Griffin, acquiring the ArcNet. 1969 Boris escapes and 2012 Boris arrives, and they team up.
Upon learning that they must go to Cape Canaveral, Florida and attach the ArcNet to the Apollo 11 rocket so it can be deployed in space, J reveals the real purpose of his mission to K, who initially takes the news badly. J, K, and Griffin fly there using jetpacks, but are stopped by the military. Griffin shows a skeptical colonel the future, convincing him of the importance of their mission, and the officer assists them in reaching the launch site. As the agents climb up the rocket's launch tower, they are attacked by both 1969 Boris and 2012 Boris. Using his time-travel device, J evades an attack by 2012 Boris and knocks him off one of the launch tower bridges. K shoots off 1969 Boris's left arm, knocking him off the tower as well. The ArcNet is attached and deploys successfully when the rocket launches, with 2012 Boris being incinerated by the rocket's exhaust, killing him. 1969 Boris attacks K on a beach, but the colonel saves K by sacrificing himself. K kills Boris instead of arresting him as he originally did. The colonel's young son arrives and inquires about his father, but rather than tell him the truth, K neuralyzes him and tells him only that his father is a hero. Observing from afar, J realizes that the young boy is himself, the colonel was his father, that K has actually been watching over him all his life, and was there when the timeline changed, thus explaining why he was the only one who remembered K in the alternate 2012.
His mission complete, J returns to 2012, where he finds a more cheerful K, and thanks him for being his surrogate father. Meanwhile, Griffin observes the moment and is briefly terrified when K almost forgets to tip a waitress, which he knows only occurs in timelines where an asteroid is on a collision course with Earth. However, K remembers and leaves a tip and the asteroid hits a satellite and is destroyed."
Prometheus,"['Science Fiction', 'Adventure', 'Mystery']",6.3,2012,"['android', 'dystopia', 'alien', 'spin off', 'creation', 'emergency surgery', 'aftercreditsstinger', 'stasis', 'archeological dig', 'god complex', 'cave drawing', 'genetic mutation', 'origins of life']","As a spacecraft departs a planet, a humanoid alien drinks an iridescent liquid and then dissolves. The remains of the alien cascade into a waterfall. The alien's DNA strands mix with the water.
In 2089, archaeologists Elizabeth Shaw and Charlie Holloway discover a star map in Scotland that matches others from several unconnected ancient cultures. They interpret this as an invitation from humanity's forerunners, the ""Engineers"". Peter Weyland, the elderly CEO of Weyland Corporation, funds an expedition, aboard the scientific vessel Prometheus, to follow the map to the distant moon LV-223. The ship's crew travels in stasis while the android David monitors their voyage. Arriving in December 2093, mission-director Meredith Vickers informs them of their mission to find the Engineers and not to make contact without her permission.
The Prometheus lands on the barren, mountainous surface near a large, artificial structure, which a team explores. Inside, they find stone cylinders, a monolithic statue of a humanoid head, and the decapitated corpse of a large alien, thought to be an Engineer; Shaw recovers its head. The crew finds other bodies, leading them to surmise the species is extinct. Crew members Millburn and Fifield grow uncomfortable with the discoveries and attempt to return to Prometheus, but become stranded in the structure when they get lost. The expedition is cut short when a storm forces the crew to return to the ship. David secretly takes a cylinder from the structure, while the remaining cylinders begin leaking a dark liquid. In the ship's lab, the Engineer's DNA is found to match that of humans. David investigates the cylinder and the liquid inside. He intentionally taints a drink with the liquid and gives it to the unsuspecting Holloway, who had stated he would do anything for answers. Shortly after, Shaw and Holloway have sex.
Inside the structure, a snake-like creature kills Millburn and sprays a corrosive fluid that melts Fifield's helmet. Fifield falls face-first into a puddle of dark liquid. When the crew returns, they find Millburn's corpse. David separately discovers a control room containing a surviving Engineer in stasis, and a large 3D holographic star map highlighting Earth. Meanwhile, Holloway sickens rapidly. He is rushed back to Prometheus, but Vickers refuses to let him aboard, and at his urging, burns him to death with a flamethrower. Later, a medical scan reveals that Shaw, despite being sterile, is pregnant. Fearing the worst, she uses an automated surgery table to extract a squid-like creature from her abdomen. Shaw then discovers that Weyland has been in stasis aboard Prometheus. He explains that he wants to ask the Engineers to prevent his death from old age. As Weyland prepares to leave for the structure, Vickers addresses him as ""Father"".
A monstrous, mutated Fifield returns to the Prometheus and kills several crew members before he is killed. The Prometheus' captain, Janek, speculates that the structure was an Engineer military base that lost control of a virulent biological weapon, the dark liquid. He also determines that the structure houses a spacecraft. Weyland and a team return to the structure, accompanied by Shaw. David wakes the Engineer from stasis and speaks to him in an attempt to explain what Weyland wants. The Engineer responds by decapitating David and killing Weyland and his team, before reactivating the spacecraft. Shaw flees and warns Janek that the Engineer is planning to release the liquid on Earth, convincing him to stop the spacecraft. Janek and the remaining crew sacrifice themselves by ramming the Prometheus into the alien craft, ejecting the lifeboat in the process, while Vickers flees in an escape pod. The Engineer's disabled spacecraft crashes onto the ground, killing Vickers. Shaw goes to the lifeboat and finds her alien offspring is alive and has grown to gigantic size. David's still-active head warns Shaw that the Engineer is pursuing her. The Engineer forces open the lifeboat's airlock and attacks Shaw, who releases her alien offspring onto the Engineer; it thrusts an ovipositor down the Engineer's throat, subduing him. Shaw recovers David's remains, and with his help, launches another Engineer spacecraft. She intends to reach the Engineers' homeworld in an attempt to understand why they wanted to destroy humanity.
In the lifeboat, an alien creature bursts out of the Engineer's chest."
Prometheus,"['Science Fiction', 'Adventure', 'Mystery']",6.3,2012,"['android', 'dystopia', 'alien', 'spin off', 'creation', 'emergency surgery', 'aftercreditsstinger', 'stasis', 'archeological dig', 'god complex', 'cave drawing', 'genetic mutation', 'origins of life']","As a spacecraft departs a planet, a humanoid alien drinks an iridescent liquid and then dissolves. The remains of the alien cascade into a waterfall. The alien's DNA strands mix with the water.
In 2089, archaeologists Elizabeth Shaw and Charlie Holloway discover a star map in Scotland that matches others from several unconnected ancient cultures. They interpret this as an invitation from humanity's forerunners, the ""Engineers"". Peter Weyland, the elderly CEO of Weyland Corporation, funds an expedition, aboard the scientific vessel Prometheus, to follow the map to the distant moon LV-223. The ship's crew travels in stasis while the android David monitors their voyage. Arriving in December 2093, mission-director Meredith Vickers informs them of their mission to find the Engineers and not to make contact without her permission.
The Prometheus lands on the barren, mountainous surface near a large, artificial structure, which a team explores. Inside, they find stone cylinders, a monolithic statue of a humanoid head, and the decapitated corpse of a large alien, thought to be an Engineer; Shaw recovers its head. The crew finds other bodies, leading them to surmise the species is extinct. Crew members Millburn and Fifield grow uncomfortable with the discoveries and attempt to return to Prometheus, but become stranded in the structure when they get lost. The expedition is cut short when a storm forces the crew to return to the ship. David secretly takes a cylinder from the structure, while the remaining cylinders begin leaking a dark liquid. In the ship's lab, the Engineer's DNA is found to match that of humans. David investigates the cylinder and the liquid inside. He intentionally taints a drink with the liquid and gives it to the unsuspecting Holloway, who had stated he would do anything for answers. Shortly after, Shaw and Holloway have sex.
Inside the structure, a snake-like creature kills Millburn and sprays a corrosive fluid that melts Fifield's helmet. Fifield falls face-first into a puddle of dark liquid. When the crew returns, they find Millburn's corpse. David separately discovers a control room containing a surviving Engineer in stasis, and a large 3D holographic star map highlighting Earth. Meanwhile, Holloway sickens rapidly. He is rushed back to Prometheus, but Vickers refuses to let him aboard, and at his urging, burns him to death with a flamethrower. Later, a medical scan reveals that Shaw, despite being sterile, is pregnant. Fearing the worst, she uses an automated surgery table to extract a squid-like creature from her abdomen. Shaw then discovers that Weyland has been in stasis aboard Prometheus. He explains that he wants to ask the Engineers to prevent his death from old age. As Weyland prepares to leave for the structure, Vickers addresses him as ""Father"".
A monstrous, mutated Fifield returns to the Prometheus and kills several crew members before he is killed. The Prometheus' captain, Janek, speculates that the structure was an Engineer military base that lost control of a virulent biological weapon, the dark liquid. He also determines that the structure houses a spacecraft. Weyland and a team return to the structure, accompanied by Shaw. David wakes the Engineer from stasis and speaks to him in an attempt to explain what Weyland wants. The Engineer responds by decapitating David and killing Weyland and his team, before reactivating the spacecraft. Shaw flees and warns Janek that the Engineer is planning to release the liquid on Earth, convincing him to stop the spacecraft. Janek and the remaining crew sacrifice themselves by ramming the Prometheus into the alien craft, ejecting the lifeboat in the process, while Vickers flees in an escape pod. The Engineer's disabled spacecraft crashes onto the ground, killing Vickers. Shaw goes to the lifeboat and finds her alien offspring is alive and has grown to gigantic size. David's still-active head warns Shaw that the Engineer is pursuing her. The Engineer forces open the lifeboat's airlock and attacks Shaw, who releases her alien offspring onto the Engineer; it thrusts an ovipositor down the Engineer's throat, subduing him. Shaw recovers David's remains, and with his help, launches another Engineer spacecraft. She intends to reach the Engineers' homeworld in an attempt to understand why they wanted to destroy humanity.
In the lifeboat, an alien creature bursts out of the Engineer's chest."
Ted,"['Comedy', 'Fantasy']",6.3,2012,"['friendship', 'love', 'teddy bear', 'toy comes to life', 'wishes come true']","In 1985, eight-year-old John Bennett is an only child living in Norwood, Massachusetts, a suburb of Boston, who wished for his new Christmas gift—a jumbo teddy bear named Ted—to come to life and become his friend. The wish coincides with a shooting star and comes true; word spread and Ted was briefly a celebrity.
27 years later, John (now 35) and Ted are still living in Boston, and are still staunch companions enjoying a hedonistic life. John is dating Lori Collins, who is from Philadelphia. As their anniversary approaches, Lori hopes to marry John but feels he could not move forward with Ted around. John is hesitant about making Ted leave, but he is persuaded to act when they find Ted at home with four prostitutes.
John finds Ted his own apartment and a job at a grocery store, where Ted begins dating his co-worker Tami-Lynn. Lori learns that John has been skipping work, using her as an excuse, to continue to spend most of his time with Ted. John and Lori are invited to a party put on by Lori's womanizing manager Rex, but Ted lures John away to a party at his apartment with the offer to meet Sam J. Jones, the star of their favorite film, Flash Gordon. John intends to stay only a few minutes but gets caught up in the occasion. Lori finds John there and breaks up with him. John blames Ted for ruining his life and banishes him.
John and Ted confront each other about their ruined friendship and they fight but manage to reconcile after a violent brawl in their hotel room. To repair John's relationship with Lori, Ted arranges for an old lover, singer Norah Jones, to help by having John express his love for Lori with a song during her concert. He does an off-key rendition of Octopussy theme song, All Time High, by Rita Coolidge and is booed offstage. Lori is touched by the attempt and returns to her apartment where Ted confesses about his role in John's relapse and offers to leave them alone forever if she talks to John.
Lori is persuaded, but Ted is kidnapped by Donny, an obsessive stalker who idolized Ted as a child. Donny plans to make Ted his brutish son Robert's new toy. Ted manages to reach a phone to contact John but is immediately recaptured. Realizing Ted is in danger, John and Lori locate Donny's residence and track him to rescue Ted. The chase leads to Fenway Park, where John punches Robert, but during the chase, Ted is damaged and falls onto the field ripped entirely in half. A police car arrives, forcing Donny to flee. John and Lori gather Ted's stuffing and Ted relays his wish that John be happy with Lori before dying from his injuries.
Unable to accept Ted's death, a distraught John and Lori attempt to repair Ted, which proves useless. Feeling saddened about the incident, Lori makes a wish on a shooting star. The next morning, John hangs his head while looking over Ted's dead body. Fortunately, Ted is magically restored and reconciles with John and Lori, encouraging them to resume their relationship. John and Lori are married (with Sam Jones as the presiding minister), and Ted comfortably accepts having a life of his own as he and Tami-Lynn continued their love affair. Sam Jones attempts to restart his career and moves into a studio apartment with Brandon Routh. Rex gives up his pursuit of Lori, goes into a deep depression, and dies of Lou Gehrig's disease. Donny gets arrested by the Boston Police Department for kidnapping Ted, but charges are dropped because they can't arrest him with kidnapping a stuffed bear. Robert hires a personal trainer, loses a significant amount of weight, and goes on to become Taylor Lautner."
Magic Mike,"['Drama', 'Comedy']",6.1,2012,"['dancing', 'florida', 'strip club', 'male stripper', 'novice']","Mike (Channing Tatum) has big plans for a business of his own but pays his bills through a series of odd jobs, most notably performing as the star stripper at Xquisite Strip Club in Tampa, a club owned by Dallas (Matthew McConaughey), who has dreams of creating an ""empire"" of strip clubs.
Mike soon meets 19-year-old Adam (Alex Pettyfer), a recent college dropout looking for a construction job. Mike takes Adam under his wing and encourages him to begin stripping at Xquisite. Mike is introduced to Adam's sister Brooke (Cody Horn). Despite his on-and-off relationship with a woman named Joanna (Olivia Munn), Mike finds himself attracted to Brooke and promises to look after Adam.
Adam falls further into the excessive lifestyle of the Xquisite dancers, using drugs and having sexual encounters with many clients. When Dallas announces he has a plan to move their act to Miami, Mike confides in Brooke that he is tiring of the lifestyle and wants to get a small business loan to pursue his dream of opening a custom furniture business. The bank declines his loan application and Mike realizes that he has to stay in the business to continue to pay his bills. Mike later attends a hurricane party at Dallas' house, where Adam becomes part of a scheme created by Tobias (Gabriel Iglesias), Xquisite's DJ, to sell drugs to Xquisite's clients, and is eventually given a package of ecstasy. Adam begins using drugs regularly, and Mike notices more of Adam's reckless behavior, to the chagrin of Brooke who is relying on Mike to protect him.
A few days later, Mike and Adam perform for a private party at a sorority house where Adam brings the package of drugs with him. At the party, Adam gives a young woman an ecstasy pill causing a brawl between Adam and the woman's boyfriend. Mike and Adam are forced to flee without the drugs, which Adam says were worth $1,000. They also do not collect their payment, which infuriates Dallas. After the next night's show, Mike and Adam take drugs and go to a club. Adam vomits and passes out; Brooke finds him on Mike's floor the next morning. Brooke angrily confronts Mike about his lifestyle, and ends her friendship with him. Tobias and his suppliers break into Mike's house looking for Adam, revealing that the drugs were actually worth $10,000. Mike gives up most of his life savings to pay Adam's debt in full.
Later, before the dancers' final performance at Xquisite, Mike decides he has had enough. Knowing that Dallas has no loyalty to any of them and is driven by greed, Mike leaves the club through the back. After realizing Mike is not coming back, Dallas promotes Adam to replace Mike as lead dancer. Mike drives to Brooke's apartment and tells her he has quit stripping. She has learned what he did for Adam, and she invites him to join her for breakfast. She playfully asks what they can do until morning, and then kisses him."
Ice Age: Continental Drift,"['Animation', 'Comedy', 'Adventure', 'Family']",6.2,2012,"['blue footed booby', 'prehistoric times', 'melting ice', 'badger', 'elephant seal', 'floating ice', 'land bridge', 'era', 'glaciale', 'deriva']","While Scrat inadvertently causes the break up of Pangaea, Manny and Ellie are forced to deal with the trials and tribulations of their teenage daughter Peaches, who has trouble fitting in with her peers. Ellie tries to support her daughter, but Manny becomes exceedingly over-protective. Meanwhile, Sid's family returns, but only long enough to drop off the elderly Granny before abandoning them both. Shortly after, a continental break-up separates Manny from The Herd. Trapped on a moving chunk of ice with Sid, Granny, and Diego, Manny has no choice but to ride out the current. Meanwhile, a giant land shift encroaches on Ellie, Peaches, and those remaining on land, causing them to make their way towards a land bridge.
Meanwhile, Scrat, in a subplot, finds an acorn that has a treasure map on it that directs him towards an island. After violent weather pushes them further away from land, Manny's group is captured by a band of pirates sailing on a floating iceberg led by a Gigantopithecus, Captain Gutt, who attempts to press them into his crew. When they refuse, Gutt tries to execute them, leading to their escape, which inadvertently cause the ship and food supplies to sink. Gutt's first mate, a female sabretooth named Shira, joins them after she is left for dead.
The Herd washes ashore on Switchback Cove, which gives a current back to their home. Manny coordinates a plan using a group of hyrax to steal a new iceberg ship that Gutt is planning to use, and they are able to escape using the ship, Shira staying with Gutt. Gutt forms another ship and plans to seek revenge on Manny.
After narrowly escaping a pack of sirens, Manny, Sid, Diego, and Granny return home only to find the land bridge destroyed and that Gutt has beaten them and taken Ellie, Peaches, and the rest of The Herd hostage. A fight issues, as Granny's pet whale, Precious, arrives and fends off Gutt's crew. Manny defeats Gutt in a final duel on an ice floe and reunites with his family and friends. Gutt subsequently encounters a siren that assumes the shape of a female Gigantopithecus, and is eaten alive. With their home destroyed, Precious takes the entire crew, including Shira to a lush island where the hyraxes from earlier have already started rebuilding their civilization.
In the film's epilogue, Scrat discovers the island on the map, known as Scratlantis (a parody of Atlantis), but his uncontrollable urge to hunt acorns in the acorn-rich city inadvertently causes the entire island to sink when he unplugs an acorn drain holder; Scrat is then ejected into a newly created desert landscape, through which he screams as his tears boil from the heat."
